display_name,estimate,localized_display_name,product_id,lat,lng,time
uberXL,240,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7886682857,-122.433725857,2016-04-18 17:14:59.345216
uberSELECT,300,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7886682857,-122.433725857,2016-04-18 17:14:59.345216
UberBLACK,180,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7886682857,-122.433725857,2016-04-18 17:14:59.345216
UberSUV,180,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7886682857,-122.433725857,2016-04-18 17:14:59.345216
uberWAV,840,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7886682857,-122.433725857,2016-04-18 17:14:59.345216
uberTAXI,300,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7886682857,-122.433725857,2016-04-18 17:14:59.345216
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7935578571,-122.433725857,2016-04-18 17:15:00.262222
uberXL,120,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7935578571,-122.433725857,2016-04-18 17:15:00.262222
uberSELECT,180,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7935578571,-122.433725857,2016-04-18 17:15:00.262222
UberBLACK,180,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7935578571,-122.433725857,2016-04-18 17:15:00.262222
UberSUV,180,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7935578571,-122.433725857,2016-04-18 17:15:00.262222
uberWAV,900,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7935578571,-122.433725857,2016-04-18 17:15:00.262222
uberTAXI,360,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7935578571,-122.433725857,2016-04-18 17:15:00.262222
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7984474286,-122.433725857,2016-04-18 17:15:01.271373
uberXL,240,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7984474286,-122.433725857,2016-04-18 17:15:01.271373
uberSELECT,120,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7984474286,-122.433725857,2016-04-18 17:15:01.271373
UberBLACK,120,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7984474286,-122.433725857,2016-04-18 17:15:01.271373
UberSUV,120,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7984474286,-122.433725857,2016-04-18 17:15:01.271373
uberWAV,960,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7984474286,-122.433725857,2016-04-18 17:15:01.271373
uberTAXI,300,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,37.7984474286,-122.433725857,2016-04-18 17:15:01.271373
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.803337,-122.433725857,2016-04-18 17:15:02.234637
uberXL,360,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.803337,-122.433725857,2016-04-18 17:15:02.234637
uberSELECT,240,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.803337,-122.433725857,2016-04-18 17:15:02.234637
